,Profit,Recency,Frequency,Monetary,Variance,SegmentId
0,187,63,1,2349.06,2,0
1,96,10,6,922.62,4,0
2,47,35,4,881.22,3,0
3,294,5,1,3815.16,2,0
4,732,4,31,41868.11,29,1
5,37,16,3,2053.4,8,0
6,264,11,12,4861.49,12,0
7,188,4,8,4010.69,9,0
8,316,4,21,12636.8,20,1
9,528,5,18,17741.24,26,1
10,87,18,6,5542.36,10,0
11,58457,11,13,25965518.2,110,2
12,445,5,14,24193.52,23,1
13,434,17,8,35265.23,24,1
14,247,25,8,17161.14,17,0
15,111,4,7,1551.15,3,0
16,320,5,15,7345.29,20,1
17,18,7,2,339.1,5,0
18,36,40,7,774.44,5,0
19,26,59,3,251.98,2,0
20,156,32,4,11455.86,10,0
21,30,42,1,139.76,1,0
22,251,5,13,5230.98,19,1
23,42,41,3,351.06,3,0
24,94,5,5,2265.75,10,0
25,957,3,22,35229.52,34,1
26,3858,3,52,114028.95,41,1
27,304,47,4,5845.68,6,0
28,79,3,9,750.84,8,0
29,39,18,3,602.63,2,0
30,36,2,2,537.0,2,0
31,123,4,6,3461.61,12,0
32,115,55,3,5802.5,14,0
33,56,32,5,427.31,4,0
34,6,63,1,49.99,1,0
35,39,2,8,1195.41,6,0
36,548,2,14,23431.21,20,1
37,251,5,10,6580.88,8,1
38,597,3,27,29915.37,26,1
39,270,24,13,3499.2,9,0
40,638,6,16,37273.21,39,1
41,33273,3,62,3059273.52,96,2
42,8,40,1,75.48,1,0
43,8,63,1,75.48,1,0
44,435,4,14,20953.36,21,1
45,516,6,14,14164.84,22,1
46,29,3,4,295.92,4,0
47,314,3,15,8863.08,14,1
48,356,4,17,13089.16,19,1
49,191,6,3,1979.79,7,0
50,67669,1,77,31966480.14,134,2
51,667,1,3,55547.8,14,1
52,800,3,11,39119.06,25,1
53,414,5,25,65626.88,25,1
54,48,33,2,349.92,1,0
55,1192,4,24,93531.57,46,1
56,40,12,4,130.72,1,0
57,271,3,22,4340.73,8,1
58,442,5,13,18207.51,12,1
59,17,21,5,295.21,3,0
60,28,7,7,683.35,6,0
61,174,5,12,5437.51,15,1
62,318,3,13,9916.47,12,1
63,18,18,2,290.4,3,0
64,95,4,24,2178.73,13,1
65,145,10,9,7234.36,12,0
66,2851,10,11,467173.24,61,1
67,3645,3,36,73717.29,62,1
68,319,5,12,9566.5,7,1
69,1503,7,17,115407.56,50,1
70,82,21,5,1395.93,9,0
71,4553,49,8,105275.94,6,0
72,69,2,10,1186.25,6,0
73,793,4,13,31984.79,39,1
74,279,5,10,7465.7,18,1
75,195,6,17,2867.65,15,1
76,21,13,3,524.76,4,0
